       290149377 function calls (285317559 primitive calls) in 474.401 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      257    0.000    0.000    0.000    0.000 <attrs generated init 167e1a9eb1e89531878936479c47800229315ef7>:1(__init__)
        1    0.000    0.000    0.000    0.000 <attrs generated init ccbb38056bd15a9f9428415ff04206c0b96e9607>:1(__init__)
        1    0.000    0.000    0.000    0.000 <attrs generated init f3fedb33ce25930df258b2b523f4d5091aa6529d>:1(__init__)
     1800    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:103(release)
      962    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
      962    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:147(__enter__)
      962    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:151(__exit__)
     1800    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     1798    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:176(cb)
      838    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
   130/53    0.000    0.000    0.074    0.001 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     1070    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      114    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
      456    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      226    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:403(cached)
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        4    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:433(spec_from_loader)
      114    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      114    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
     1798    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:58(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:622(_load_backward_compatible)
